# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2024-01-25 07:30:54
# API-Download für Covid19-Fälle in Rheinland-Pfalz, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,2,,,,,,,,,,,
2020-KW10,,1,,1,1,1,,2,2,,1,,3,,1,,,
2020-KW11,2,1,,8,11,20,26,26,25,30,66,51,19,19,4,7,5,1
2020-KW12,6,1,6,13,70,110,75,70,100,84,185,98,93,29,17,19,34,10
2020-KW13,10,8,22,40,117,124,96,100,95,118,174,126,104,62,49,49,60,4
2020-KW14,10,9,13,38,103,96,90,87,76,76,135,134,103,58,44,42,124,2
2020-KW15,8,10,15,26,66,43,52,52,61,80,94,79,70,41,34,39,144,2
2020-KW16,4,7,7,25,50,55,42,38,43,39,50,62,42,24,15,32,113,
2020-KW17,5,6,5,11,20,29,23,20,30,20,24,26,30,11,10,15,71,3
2020-KW18,6,4,9,6,21,27,18,14,13,11,17,12,13,6,17,10,35,
2020-KW19,4,8,5,9,13,21,22,10,14,12,11,16,10,5,9,2,23,
2020-KW20,12,15,10,11,9,17,14,7,11,11,12,12,7,7,4,3,7,1
2020-KW21,5,5,8,2,11,13,10,13,4,1,5,8,5,2,2,1,2,
2020-KW22,4,8,8,6,12,17,9,8,4,9,4,5,3,2,3,1,5,1
2020-KW23,1,8,6,5,7,7,9,8,8,4,4,2,4,1,1,5,4,
2020-KW24,,1,3,1,9,10,4,3,6,5,3,3,2,1,1,1,1,
2020-KW25,2,,6,4,11,5,6,3,3,5,7,5,3,3,3,4,2,1
2020-KW26,3,5,1,5,13,7,8,4,2,4,5,4,5,2,,1,2,3
2020-KW27,7,8,4,14,18,13,2,6,2,6,7,1,2,3,2,,,
2020-KW28,5,5,4,3,9,10,17,8,4,8,6,3,10,1,2,1,1,2
2020-KW29,8,10,9,10,12,13,10,11,8,10,10,7,9,4,2,3,5,
2020-KW30,3,3,6,7,10,7,14,4,7,10,15,7,3,,2,5,2,
